City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,yucca valley,34.1142,-116.4322,292.11,26,0,4.92,US,1681499766
314,pisco,-13.7,-76.2167,300.94,61,0,8.23,PE,1681499445
315,gafanha da encarnacao,40.6181,-8.733,289.69,93,100,5.65,PT,1681499766
316,tirlyanskiy,54.2109,58.5806,265.9,49,100,6.67,RU,1681499766
317,kuhdasht,33.535,47.6061,281.67,66,2,0.42,IR,1681499766
318,lavrentiya,65.5833,-171.0,255.22,84,14,4.31,RU,1681499456
319,portland,45.5234,-122.6762,287.75,60,20,2.24,US,1681499580
320,zhanaozen,43.3,52.8,283.72,63,61,4.6,KZ,1681499766
321,springbok,-29.6643,17.8865,288.9,32,0,4.97,ZA,1681499766
322,rio de janeiro,-22.9028,-43.2075,300.15,81,75,9.26,BR,1681499736
323,dukat,62.55,155.55,253.58,97,80,1.0,RU,1681499766
324,aitape,-3.1374,142.3475,298.64,90,94,2.66,PG,1681499767
325,balsas,-7.5325,-46.0356,302.97,60,100,0.77,BR,1681499767
326,mocuba,-16.8392,36.9856,295.22,95,23,1.4,MZ,1681499767
327,apricena,41.7839,15.4437,285.2,83,43,1.04,IT,1681499767
328,sangar,63.9242,127.4739,254.52,96,40,0.93,RU,1681499501
329,kytmanovo,53.4593,85.4479,268.39,90,100,5.76,RU,1681499767
330,jalu,29.0331,21.5482,297.01,10,1,3.27,LY,1681499518
331,reitz,-27.8014,28.4273,285.31,31,100,3.51,ZA,1681499768
332,bull savanna,17.8868,-77.5902,300.19,72,45,6.66,JM,1681499768
333,brandon,27.9378,-82.2859,305.41,56,40,6.17,US,1681499768
334,khudumelapye,-23.8833,24.75,294.72,23,0,4.14,BW,1681499479
335,chupa,66.27,33.0549,268.49,93,6,1.46,RU,1681499768
336,malanje,-9.5402,16.341,292.44,91,63,1.67,AO,1681499768
337,port moresby,-9.4431,147.1797,296.84,89,100,1.52,PG,1681499768
338,shenjiamen,29.9576,122.298,287.89,98,100,4.19,CN,1681499768
339,hambantota,6.1241,81.1185,298.34,100,20,1.03,LK,1681499454
340,pundaguitan,6.3711,126.1689,300.53,79,7,1.25,PH,1681499516
341,bria,6.5423,21.9863,297.52,69,10,0.91,CF,1681499769
342,adrar,20.5022,-10.0711,304.57,16,0,4.18,MR,1681499666
343,zabid,14.1951,43.3152,303.02,63,6,0.55,YE,1681499769
344,shimoda,34.6667,138.95,285.99,83,100,4.8,JP,1681499481
345,bara,10.3744,10.7288,304.76,14,100,2.28,NG,1681499662
346,ziro,27.6333,93.8333,285.22,80,64,0.84,IN,1681499770
347,evensk,61.95,159.2333,262.92,61,100,7.03,RU,1681499774
348,luganville,-15.5333,167.1667,297.96,92,100,3.97,VU,1681499508
349,perth,-31.9333,115.8333,285.25,93,0,2.57,AU,1681499637
350,innisfail,-17.5333,146.0333,294.92,74,100,2.21,AU,1681499480
351,nokaneng,-19.6667,22.2667,299.14,28,19,1.98,BW,1681499775
352,kismayo,-0.3582,42.5454,300.9,74,94,4.8,SO,1681499775
353,husavik,66.0449,-17.3389,275.4,99,100,1.53,IS,1681499466
354,bojnurd,37.4747,57.329,280.12,81,0,2.06,IR,1681499775
355,kivsharivka,49.6213,37.7036,276.98,96,100,5.9,UA,1681499775
356,djibo,14.1022,-1.6306,307.23,11,100,1.34,BF,1681499775
357,padang,-0.9492,100.3543,298.84,88,97,1.18,ID,1681499226
358,goba,7.0167,39.9833,282.56,91,96,1.59,ET,1681499775
359,oranjemund,-28.55,16.4333,288.2,77,0,9.76,NA,1681499776
360,wanning,18.8003,110.3967,297.77,96,66,1.57,CN,1681499513
361,jalandhar,31.3256,75.5792,298.68,51,0,1.4,IN,1681499776
362,ternate,0.8,127.4,300.0,79,94,2.13,ID,1681499776
363,pueblo nuevo,23.3833,-105.3833,294.98,14,97,4.16,MX,1681499776
364,soe,-9.8607,124.284,291.75,94,99,1.59,ID,1681499776
365,udachnyy,66.4167,112.4,270.07,45,100,11.08,RU,1681499455
